stem	word_m	lang_GT_API
wollt	wollte	de
mississippi	mississippi	en
vai	vai	lv
van	van	nl
saben	saben	es
crave	crave	en
pictur	picture	en
personn	personne	fr
esperando	esperando	es
aan	aan	nl
spiral	spiral	en
feat	(feat.	en
threat	threat	en
appl	apple	en
tun	tun	de
inner	inner	en
también	también	es
ed	ed	
var	var	sv
vas	vas	sl
quanto	quanto	it
stai	stai	it
mijn	mijn	nl
buy	buy	en
north	north	en
noel	noel	en
innoc	innocent	en
tocar	tocar	es
bus	bus	en
brand	brand	en
deja	deja	es
wed	wedding	en
continu	continue	en
llevo	llevo	es
		
hi	hi	
ho	ho	
nut	nuts	en
whistl	whistle	en
grate	grateful	en
jai	j'ai	fr
eas	ease	en
ear	ears	en
eat	eat	en
wherev	wherever	en
he	he	
count	count	en
selfish	selfish	en
cu	cu	
made	made	en
wise	wise	en
temp	temps	fr
seit	seit	de
whether	whether	en
wish	wish	en
j	j	
smooth	smooth	en
flip	flip	en
troubl	trouble	en
whoa	whoa	en
record	record	en
below	below	en
belov	beloved	en
limit	limit	en
hesit	hesitate	en
beau	beau	fr
cake	cake	en
quizá	quizás	es
problem	problem	en
sein	sein	de
duro	duro	es
cmon	c'mon	fr
pin	pin	en
int	inte	sv
whisper	whisper	en
dure	during	en
gira	gira	es
pie	pie	lv
dura	dura	es
pig	pig	en
twist	twist	en
cap	cap	ca
jenni	jenny	en
mejor	mejor	es
ink	ink	en
manchmal	manchmal	de
penni	penny	en
pit	pit	en
happen	happen	en
beckon	beckon	en
alegria	alegria	pt
groov	groove	en
coisa	coisa	pt
lalala	lalala	id
menschen	menschen	de
seul	seul	fr
boot	boots	en
cave	cave	en
40	40	
saviour	saviour	en
book	book	en
seus	seus	pt
futur	future	en
sick	sick	en
niemal	niemals	de
behold	behold	en
out	out	en
talkin	talkin'	en
reckless	reckless	en
adam	adam	en
fiesta	fiesta	es
genau	genau	de
junk	junk	en
repeat	repeat	en
star	stars	en
monday	monday	en
grito	grito	es
vega	vegas	en
june	june	en
jung	junge	de
guardo	guardo	it
reput	reputation	en
unser	unsere	de
stab	stab	en
attempt	attempt	en
ese	ese	es
throughout	throughout	en
basement	basement	en
veil	veil	en
humbl	humble	en
vein	veins	en
goin	goin'	en
ghost	ghost	en
–	–	
sólo	sólo	es
4x	(4x)	ar
pode	pode	pt
aún	aún	es
jewel	jewels	en
sarà	sarà	it
rule	rules	en
paranoia	paranoia	en
vuoi	vuoi	it
fifti	fifty	en
raven	raven	en
là	là	
lá	lá	
allein	allein	de
yell	yell	en
at	at	
confess	confess	en
sincer	sincere	en
richard	richard	en
